Name,Description
Incoming Service Barring,Incoming Service Barring
Mobile and Personal number barring,Mobile and Personal number barring
NONE,NO BARRING PROFILE
Outgoing Service Barring,Outgoing Service barring
PRS+ISD+XCH+MO+NAT BARRED,PRS+ISD+XCH+MO+NAT BARRED
PRS+ISD+XCH+MO+PN BARRED,PRS+ISD+XCH+MO+PN BARRED
PRS+ISD+XCH BARRED,PRS+ISD+XCH BARRED
PRS+ISD BARRED,PRS+ISD BARRED
PRS BARRED,PRS BARRED
Name,Description
Incoming Service Barring,Incoming Service Barring
Mobile and Personal number barring,Mobile and Personal number barring
NONE,NO BARRING PROFILE
Outgoing Service Barring,Outgoing Service barring
PRS+ISD+XCH+MO+NAT BARRED,PRS+ISD+XCH+MO+NAT BARRED
PRS+ISD+XCH+MO+PN BARRED,PRS+ISD+XCH+MO+PN BARRED
PRS+ISD+XCH BARRED,PRS+ISD+XCH BARRED
PRS+ISD BARRED,PRS+ISD BARRED
PRS BARRED,PRS BARRED
Name,Description
Incoming Service Barring,Incoming Service Barring
Mobile and Personal number barring,Mobile and Personal number barring
NONE,NO BARRING PROFILE
Outgoing Service Barring,Outgoing Service barring
PRS+ISD+XCH+MO+NAT BARRED,PRS+ISD+XCH+MO+NAT BARRED
PRS+ISD+XCH+MO+PN BARRED,PRS+ISD+XCH+MO+PN BARRED
PRS+ISD+XCH BARRED,PRS+ISD+XCH BARRED
PRS+ISD BARRED,PRS+ISD BARRED
PRS BARRED,PRS BARRED
Name,Description
Incoming Service Barring,Incoming Service Barring
Mobile and Personal number barring,Mobile and Personal number barring
NONE,NO BARRING PROFILE
Outgoing Service Barring,Outgoing Service barring
PRS+ISD+XCH+MO+NAT BARRED,PRS+ISD+XCH+MO+NAT BARRED
PRS+ISD+XCH+MO+PN BARRED,PRS+ISD+XCH+MO+PN BARRED
PRS+ISD+XCH BARRED,PRS+ISD+XCH BARRED
PRS+ISD BARRED,PRS+ISD BARRED
PRS BARRED,PRS BARRED
Name,Description
Incoming Service Barring,Incoming Service Barring
Mobile and Personal number barring,Mobile and Personal number barring
NONE,NO BARRING PROFILE
Outgoing Service Barring,Outgoing Service barring
PRS+ISD+XCH+MO+NAT BARRED,PRS+ISD+XCH+MO+NAT BARRED
PRS+ISD+XCH+MO+PN BARRED,PRS+ISD+XCH+MO+PN BARRED
PRS+ISD+XCH BARRED,PRS+ISD+XCH BARRED
PRS+ISD BARRED,PRS+ISD BARRED
PRS BARRED,PRS BARRED
Name,Description
Incoming Service Barring,Incoming Service Barring
Mobile and Personal number barring,Mobile and Personal number barring
NONE,NO BARRING PROFILE
Outgoing Service Barring,Outgoing Service barring
PRS+ISD+XCH+MO+NAT BARRED,PRS+ISD+XCH+MO+NAT BARRED
PRS+ISD+XCH+MO+PN BARRED,PRS+ISD+XCH+MO+PN BARRED
PRS+ISD+XCH BARRED,PRS+ISD+XCH BARRED
PRS+ISD BARRED,PRS+ISD BARRED
PRS BARRED,PRS BARRED
Name,Description
Incoming Service Barring,Incoming Service Barring
Mobile and Personal number barring,Mobile and Personal number barring
NONE,NO BARRING PROFILE
Outgoing Service Barring,Outgoing Service barring
PRS+ISD+XCH+MO+NAT BARRED,PRS+ISD+XCH+MO+NAT BARRED
PRS+ISD+XCH+MO+PN BARRED,PRS+ISD+XCH+MO+PN BARRED
PRS+ISD+XCH BARRED,PRS+ISD+XCH BARRED
PRS+ISD BARRED,PRS+ISD BARRED
PRS BARRED,PRS BARRED
